起点节点id,起点节点名称,终点节点code,终点节点名称,关系类型,开始时间,结束时间
AGRI005001,兽用疫苗,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI005002,兽用化学药品制剂,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006001,粮食作物种植,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006002,经济作物种植,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006003,家畜养殖,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006004,家禽养殖,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006005,水产养殖,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006006,林业生产,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006011,白羽肉鸡养殖,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006012,黄羽肉鸡养殖,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006013,淡水水产养殖,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI006014,海水水产养殖,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI007001,粮食加工,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI007002,植物油加工,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI007003,淀粉及深加工,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI007004,屠宰与肉类分割,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI007005,肉制品与预制菜加工,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI007007,制糖工业,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI007008,水产品加工,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI008002,生鲜冷链物流,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI008003,食材供应链服务,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI008004,生鲜零售终端渠道,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI008010,冷库仓储服务,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
AGRI008011,冷藏运输配送,AGRI,农林牧渔,BELONGS_TO_INDUSTRY,2026-08-03,
