节点code,节点类型,节点名称,证券代码,生效时间,失效时间,业务描述
1872267,公司,浙江衢州东方集团股份有限公司,,2026-08-05,,
1881629,公司,安徽华业香料股份有限公司,,2026-08-05,,
1884858,公司,金太阳粮油股份有限公司,,2026-08-05,,
1890550,公司,路德生物环保科技股份有限公司,,2026-08-05,,
1921710,公司,山东美罗福农业科技股份有限公司,,2026-08-05,,
1924710,公司,河南恒瑞淀粉科技股份有限公司,,2026-08-05,,
1995821,公司,宁夏上陵牧业股份有限公司,,2026-08-05,,
1996775,公司,新疆锦棉种业科技股份有限公司,,2026-08-05,,
1998319,公司,虹越花卉股份有限公司,,2026-08-05,,
1999240,公司,柳州爱格富食品科技股份有限公司,,2026-08-05,,
2050001,公司,湖北金旭农业发展股份有限公司,,2026-08-05,,
2058193,公司,山东先达农化股份有限公司,,2026-08-05,,
2109788,公司,安徽雪郎生物科技股份有限公司,,2026-08-05,,
2114630,公司,北京雷力海洋生物新产业股份有限公司,,2026-08-05,,
2115788,公司,圆通国际快递供应链科技有限公司,,2026-08-05,,
2116495,公司,武汉九生堂生物科技股份有限公司,,2026-08-05,,
2117266,公司,宁夏骏华月牙湖农牧科技股份有限公司,,2026-08-05,,
2129429,公司,江苏中旗科技股份有限公司,,2026-08-05,,
2149064,公司,骏东(控股)有限公司,,2026-08-05,,
2175983,公司,浙江茶乾坤食品股份有限公司,,2026-08-05,,
2176010,公司,安徽华恒生物科技股份有限公司,,2026-08-05,,
2176544,公司,根力多生物科技股份有限公司,,2026-08-05,,
2177860,公司,湖南湘佳牧业股份有限公司,,2026-08-05,,
2205466,公司,上海全胜物流股份有限公司,,2026-08-05,,
2229434,公司,江苏红旗种业股份有限公司,,2026-08-05,,
2234289,公司,浙江美之奥种业股份有限公司,,2026-08-05,,
2264667,公司,山东安信种苗股份有限公司,,2026-08-05,,
2264800,公司,中喜生态产业股份有限公司,,2026-08-05,,
2264802,公司,烟台枫林食品股份有限公司,,2026-08-05,,
2293088,公司,山东三信商贸股份有限公司,,2026-08-05,,
2300524,公司,云南云叶化肥股份有限公司,,2026-08-05,,
2307824,公司,江苏康能生物工程股份有限公司,,2026-08-05,,
2308238,公司,广州利洋水产科技股份有限公司,,2026-08-05,,
2313486,公司,湖北玉如意生物科技股份有限公司,,2026-08-05,,
2330336,公司,海航冷链控股股份有限公司,,2026-08-05,,
2339909,公司,合肥银山棉麻股份有限公司,,2026-08-05,,
2347304,公司,田野创新股份有限公司,,2026-08-05,,
2347333,公司,中棉种业科技股份有限公司,,2026-08-05,,
2372764,公司,富一国际控股有限公司,,2026-08-05,,
2375291,公司,江苏沃田集团股份有限公司,,2026-08-05,,
23996785,公司,河北永和荣达生物科技股份有限公司,,2026-08-05,,
2406766,公司,江苏世昌农牧集团股份有限公司,,2026-08-05,,
2415880,公司,佩蒂动物营养科技股份有限公司,,2026-08-05,,
2416467,公司,天域生物科技股份有限公司,,2026-08-05,,
2429538,公司,华宝科技股份有限公司,,2026-08-05,,
2431328,公司,山东路斯宠物食品股份有限公司,,2026-08-05,,
2431627,公司,山西长荣农业科技股份有限公司,,2026-08-05,,
2431629,公司,郴州金晋农牧股份有限公司,,2026-08-05,,
2439528,公司,中国顺客隆控股有限公司,,2026-08-05,,
2440062,公司,泉州自然盛景数字科技股份有限公司,,2026-08-05,,
2444998,公司,江苏东宝农化股份有限公司,,2026-08-05,,
2454825,公司,广东旺大集团股份有限公司,,2026-08-05,,
2454883,公司,江苏锦达保税仓储股份有限公司,,2026-08-05,,
2455034,公司,宁夏金宇浩兴农牧业股份有限公司,,2026-08-05,,
2455041,公司,甘肃爽口源生态科技股份有限公司,,2026-08-05,,
2468822,公司,中捷四方生物科技股份有限公司,,2026-08-05,,
2477174,公司,谷实生物集团股份有限公司,,2026-08-05,,
2477859,公司,湖北中香农业科技股份有限公司,,2026-08-05,,
2496013,公司,黑龙江省恒源食品股份有限公司,,2026-08-05,,
2500151,公司,安顺新金秋科技股份有限公司,,2026-08-05,,
2502111,公司,花木易购科技股份有限公司,,2026-08-05,,
2502528,公司,河南红东方化工股份有限公司,,2026-08-05,,
2504510,公司,海南天地人生态农业股份有限公司,,2026-08-05,,
2505160,公司,杭州九新能源科技股份有限公司,,2026-08-05,,
2507169,公司,江西新龙生物科技股份有限公司,,2026-08-05,,
2509430,公司,湖北晨科农牧集团股份有限公司,,2026-08-05,,
2510277,公司,北京澳佳生态农业股份有限公司,,2026-08-05,,
2513213,公司,福建万辰食品集团股份有限公司,,2026-08-05,,
2519774,公司,宁夏皇达生物科技股份有限公司,,2026-08-05,,
2519777,公司,甘肃华瑞农业股份有限公司,,2026-08-05,,
2526999,公司,山西金粮饲料股份有限公司,,2026-08-05,,
2538491,公司,浙江群大饲料科技股份有限公司,,2026-08-05,,
2538942,公司,新疆东方红番茄股份有限公司,,2026-08-05,,
2539097,公司,北京瓜尔润科技股份有限公司,,2026-08-05,,
2539100,公司,安徽省文胜生物工程股份有限公司,,2026-08-05,,
2539111,公司,河北一森林业发展股份有限公司,,2026-08-05,,
2539727,公司,江苏立华食品集团股份有限公司,,2026-08-05,,
2540115,公司,山东绿霸化工股份有限公司,,2026-08-05,,
2540769,公司,大连壮元海生态苗业股份有限公司,,2026-08-05,,
2544529,公司,大连鑫玉龙海洋生物种业科技股份有限公司,,2026-08-05,,
2544537,公司,云南曲辰种业股份有限公司,,2026-08-05,,
2544539,公司,荣达禽业股份有限公司,,2026-08-05,,
2544651,公司,广东宏川智慧物流股份有限公司,,2026-08-05,,
2546624,公司,黑龙江省五米常香农业科技发展股份有限公司,,2026-08-05,,
2546683,公司,平顶山金晶生物科技股份有限公司,,2026-08-05,,
2547490,公司,内蒙古华欧淀粉工业股份有限公司,,2026-08-05,,
2552636,公司,格润食品集团股份有限公司,,2026-08-05,,
2556594,公司,山东凯欣绿色食品股份有限公司,,2026-08-05,,
2556887,公司,山东环丰食品股份有限公司,,2026-08-05,,
2556927,公司,内蒙古佰惠生新农业科技股份有限公司,,2026-08-05,,
2582896,公司,安徽利民生物科技股份有限公司,,2026-08-05,,
2606945,公司,南京生兴农林科技股份有限公司,,2026-08-05,,
2606948,公司,江苏润普食品科技股份有限公司,,2026-08-05,,
2607283,公司,广东南字科技股份有限公司,,2026-08-05,,
2607413,公司,河北万森生物科技股份有限公司,,2026-08-05,,
2612473,公司,三瑞农业科技股份有限公司,,2026-08-05,,
2612541,公司,广东天合牧科实业股份有限公司,,2026-08-05,,
2612568,公司,山东绿邦作物科学股份有限公司,,2026-08-05,,
266733,公司,江苏快达农化股份有限公司,,2026-08-05,,
267104,公司,晨光生物科技集团股份有限公司,,2026-08-05,,
267514,公司,湛江国联水产开发股份有限公司,,2026-08-05,,
268427,公司,河南新宁现代物流股份有限公司,,2026-08-05,,
268839,公司,亚洲果业控股有限公司,,2026-08-05,,
2769584,公司,四川金安特农业股份有限公司,,2026-08-05,,
2769880,公司,杨凌秦岭山现代农业股份有限公司,,2026-08-05,,
2771179,公司,内蒙古嘉宝仕生物科技股份有限公司,,2026-08-05,,
2772930,公司,烟台中宠食品股份有限公司,,2026-08-05,,
277374,公司,山东登海种业股份有限公司,,2026-08-05,,
2785693,公司,浙江明辉蔬果配送股份有限公司,,2026-08-05,,
2785694,公司,湖北康农种业股份有限公司,,2026-08-05,,
2785885,公司,杭州华商物流股份有限公司,,2026-08-05,,
2786315,公司,广西商大科技股份有限公司,,2026-08-05,,
2786371,公司,浙江启利兴光可可制品股份有限公司,,2026-08-05,,
2789981,公司,广东天池茶业股份有限公司,,2026-08-05,,
2790053,公司,湖南桃花江竹材科技股份有限公司,,2026-08-05,,
2797362,公司,福建傲农生物科技集团股份有限公司,,2026-08-05,,
2798152,公司,申联生物医药(上海)股份有限公司,,2026-08-05,,
2799990,公司,浙江金海蕴生物股份有限公司,,2026-08-05,,
2800101,公司,内蒙古草都草牧业股份有限公司,,2026-08-05,,
280291,公司,湖南新五丰股份有限公司,,2026-08-05,,
2807022,公司,浙江艾格生物科技股份有限公司,,2026-08-05,,
2819939,公司,青岛力力惠生物科技股份有限公司,,2026-08-05,,
2820031,公司,浙江大飞龙动物保健品股份有限公司,,2026-08-05,,
282195,公司,联化科技股份有限公司,,2026-08-05,,
282616,公司,绿心集团有限公司,,2026-08-05,,
282971,公司,山东民和牧业股份有限公司,,2026-08-05,,
2830388,公司,绍兴贝斯美化工股份有限公司,,2026-08-05,,
2831664,公司,嘉必优生物技术(武汉)股份有限公司,,2026-08-05,,
2837258,公司,广东驱动力生物科技集团股份有限公司,,2026-08-05,,
2837331,公司,江西红一种业科技股份有限公司,,2026-08-05,,
2843461,公司,浙江久源林业科技股份有限公司,,2026-08-05,,
2843466,公司,山东嘉华生物科技股份有限公司,,2026-08-05,,
2843726,公司,江西华亨宠物食品股份有限公司,,2026-08-05,,
2843807,公司,福建环海生物科技股份有限公司,,2026-08-05,,
2843809,公司,河北沃土种业股份有限公司,,2026-08-05,,
2843926,公司,福建龙岩闽雄生物科技股份有限公司,,2026-08-05,,
2844162,公司,申亚生物科技股份有限公司,,2026-08-05,,
2844253,公司,上海大力人良科技发展股份有限公司,,2026-08-05,,
2844374,公司,河北双星种业股份有限公司,,2026-08-05,,
2844586,公司,安徽华运超市股份有限公司,,2026-08-05,,
284463,公司,河北福成五丰食品股份有限公司,,2026-08-05,,
2844651,公司,陕西大唐种业股份有限公司,,2026-08-05,,
2844673,公司,江苏一号农场科技股份有限公司,,2026-08-05,,
284655,公司,华联国际(控股)有限公司,,2026-08-05,,
285280,公司,新洋丰农业科技股份有限公司,,2026-08-05,,
285387,公司,湖北宜化化工股份有限公司,,2026-08-05,,
285439,公司,安道麦股份有限公司,,2026-08-05,,
285493,公司,广西农投糖业集团股份有限公司,,2026-08-05,,
285506,公司,山西潞安化工科技股份有限公司,,2026-08-05,,
285564,公司,袁隆平农业高科技股份有限公司,,2026-08-05,,
285615,公司,上海开创国际海洋资源股份有限公司,,2026-08-05,,
285637,公司,大湖健康产业股份有限公司,,2026-08-05,,
285647,公司,张家港保税科技(集团)股份有限公司,,2026-08-05,,
285826,公司,金健米业股份有限公司,,2026-08-05,,
285828,公司,浙江新安化工集团股份有限公司,,2026-08-05,,
285841,公司,中农发种业集团股份有限公司,,2026-08-05,,
285845,公司,江苏扬农化工股份有限公司,,2026-08-05,,
285866,公司,海南京粮控股股份有限公司,,2026-08-05,,
285920,公司,湖北武昌鱼股份有限公司,,2026-08-05,,
285965,公司,江苏澄星磷化工股份有限公司,,2026-08-05,,
285982,公司,金宇生物技术股份有限公司,,2026-08-05,,
285993,公司,四川泸天化股份有限公司,,2026-08-05,,
286005,公司,湖南正虹科技发展股份有限公司,,2026-08-05,,
286036,公司,黑龙江北大荒农业股份有限公司,,2026-08-05,,
286090,公司,山东省中鲁远洋渔业股份有限公司,,2026-08-05,,
286114,公司,藏格矿业股份有限公司,,2026-08-05,,
286154,公司,青海盐湖工业股份有限公司,,2026-08-05,,
286161,公司,中百控股集团股份有限公司,,2026-08-05,,
286206,公司,南京红太阳股份有限公司,,2026-08-05,,
286217,公司,广东肇庆星湖生物科技股份有限公司,,2026-08-05,,
286347,公司,南通江山农药化工股份有限公司,,2026-08-05,,
286353,公司,中牧实业股份有限公司,,2026-08-05,,
286361,公司,山东华鲁恒升化工股份有限公司,,2026-08-05,,
286376,公司,新疆塔里木农业综合开发股份有限公司,,2026-08-05,,
286401,公司,深圳市深粮控股股份有限公司,,2026-08-05,,
286423,公司,云南云天化股份有限公司,,2026-08-05,,
286441,公司,亚钾国际投资(广州)股份有限公司,,2026-08-05,,
286444,公司,湖北兴发化工集团股份有限公司,,2026-08-05,,
286449,公司,梅花生物科技集团股份有限公司,,2026-08-05,,
286474,公司,湖北洪湖生态农业股份有限公司,,2026-08-05,,
286567,公司,中粮糖业控股股份有限公司,,2026-08-05,,
286603,公司,湖南海利化工股份有限公司,,2026-08-05,,
286616,公司,包头华资实业股份有限公司,,2026-08-05,,
286661,公司,万向德农股份有限公司,,2026-08-05,,
286679,公司,新希望六和股份有限公司,,2026-08-05,,
286695,公司,中粮生物科技股份有限公司,,2026-08-05,,
286722,公司,国投丰乐种业股份有限公司,,2026-08-05,,
286766,公司,中基健康产业股份有限公司,,2026-08-05,,
286787,公司,中福海峡(平潭)发展股份有限公司,,2026-08-05,,
2868530,公司,江苏香如生物科技股份有限公司,,2026-08-05,,
287327,公司,甘肃省敦煌种业集团股份有限公司,,2026-08-05,,
287373,公司,四川美丰化工股份有限公司,,2026-08-05,,
287467,公司,蓝星安迪苏股份有限公司,,2026-08-05,,
287469,公司,四川宏达股份有限公司,,2026-08-05,,
2878266,公司,湖北一致魔芋生物科技股份有限公司,,2026-08-05,,
287883,公司,贵州赤天化股份有限公司,,2026-08-05,,
288167,公司,云南景谷林业股份有限公司,,2026-08-05,,
2882390,公司,苏州欧福蛋业股份有限公司,,2026-08-05,,
2896876,公司,卓豪农业科技(集团)股份有限公司,,2026-08-05,,
290879,公司,润中国际控股有限公司,,2026-08-05,,
2923785,公司,广东德力智慧物流股份有限公司,,2026-08-05,,
2924225,公司,吉林仟客莱科技集团股份有限公司,,2026-08-05,,
2924446,公司,安徽合益食品股份有限公司,,2026-08-05,,
292716,公司,天津泰达生物医学工程股份有限公司,,2026-08-05,,
293735,公司,都都控股有限公司,,2026-08-05,,
293853,公司,天邦食品股份有限公司,,2026-08-05,,
295106,公司,中国淀粉控股有限公司,,2026-08-05,,
295191,公司,步步高商业连锁股份有限公司,,2026-08-05,,
295576,公司,国投中鲁果汁股份有限公司,,2026-08-05,,
2956086,公司,江苏快而捷物流股份有限公司,,2026-08-05,,
2956306,公司,海南传味文昌鸡产业股份有限公司,,2026-08-05,,
2956393,公司,浙江香海食品股份有限公司,,2026-08-05,,
2956964,公司,甘肃陇萃堂营养保健食品股份有限公司,,2026-08-05,,
2957557,公司,广东安捷供应链管理股份有限公司,,2026-08-05,,
2957608,公司,青岛城业城供应链股份有限公司,,2026-08-05,,
296241,公司,从玉智农集团有限公司,,2026-08-05,,
2973891,公司,四川安达农森科技股份有限公司,,2026-08-05,,
2977378,公司,广东广康生化科技股份有限公司,,2026-08-05,,
2978375,公司,安徽中草香料股份有限公司,,2026-08-05,,
2978836,公司,陕西石羊农业科技股份有限公司,,2026-08-05,,
298285,公司,浩盟控股有限公司,,2026-08-05,,
298837,公司,利尔化学股份有限公司,,2026-08-05,,
299107,公司,深圳市芭田生态工程股份有限公司,,2026-08-05,,
2994221,公司,绿亨科技集团股份有限公司,,2026-08-05,,
2994321,公司,海南希源生态农业股份有限公司,,2026-08-05,,
299621,公司,浙江华康药业股份有限公司,,2026-08-05,,
299774,公司,山东好当家海洋发展股份有限公司,,2026-08-05,,
300656,公司,金源发展国际实业有限公司,,2026-08-05,,
300780,公司,保龄宝生物股份有限公司,,2026-08-05,,
3019939,公司,江苏益客食品集团股份有限公司,,2026-08-05,,
302245,公司,南顺(香港)有限公司,,2026-08-05,,
305656,公司,华宝国际控股有限公司,,2026-08-05,,
308282,公司,深圳诺普信作物科学股份有限公司,,2026-08-05,,
308592,公司,烟台北方安德利果汁股份有限公司,,2026-08-05,,
308752,公司,温氏食品集团股份有限公司,,2026-08-05,,
309651,公司,安徽六国化工股份有限公司,,2026-08-05,,
312782,公司,獐子岛集团股份有限公司,,2026-08-05,,
312913,公司,联华超市股份有限公司,,2026-08-05,,
313296,公司,中海石油化学股份有限公司,,2026-08-05,,
314648,公司,浙江伊宝馨生物科技股份有限公司,,2026-08-05,,
317540,公司,中国海洋集团发展有限公司,,2026-08-05,,
3270317,公司,山东吉田香料股份有限公司,,2026-08-05,,
3271530,公司,乐山巨星农牧股份有限公司,,2026-08-05,,
3281332,公司,贺州速丰木业股份有限公司,,2026-08-05,,
3282755,公司,河南永丰面业股份有限公司,,2026-08-05,,
329036,公司,新疆赛里木现代农业股份有限公司,,2026-08-05,,
329152,公司,超大现代农业(控股)有限公司,,2026-08-05,,
330180,公司,亚洲木薯资源控股有限公司,,2026-08-05,,
331103,公司,中化化肥控股有限公司,,2026-08-05,,
331358,公司,南通醋酸化工股份有限公司,,2026-08-05,,
3317461,公司,乖宝宠物食品集团股份有限公司,,2026-08-05,,
3336300,公司,椰丰集团有限公司,,2026-08-05,,
3338437,公司,春能控股有限公司,,2026-08-05,,
3347644,公司,广东绿湖园艺股份有限公司,,2026-08-05,,
335197,公司,天康生物股份有限公司,,2026-08-05,,
3355938,公司,滨州隆鑫天润食品股份有限公司,,2026-08-05,,
3356148,公司,徐州天意药业股份有限公司,,2026-08-05,,
3356187,公司,山西大禹生物工程股份有限公司,,2026-08-05,,
3356224,公司,安徽大自然种猪股份有限公司,,2026-08-05,,
3356274,公司,张家港福吉佳食品股份有限公司,,2026-08-05,,
3356305,公司,烟台大地牧业股份有限公司,,2026-08-05,,
3356550,公司,福建清铧茶业股份有限公司,,2026-08-05,,
336925,公司,江西正邦科技股份有限公司,,2026-08-05,,
337417,公司,大成生化科技集团有限公司,,2026-08-05,,
3383429,公司,广东和利农生物种业股份有限公司,,2026-08-05,,
3390073,公司,杭州博可生物科技股份有限公司,,2026-08-05,,
3390910,公司,黑龙江省四宝生物科技股份有限公司,,2026-08-05,,
3418960,公司,东瑞食品集团股份有限公司,,2026-08-05,,
342160,公司,海南天然橡胶产业集团股份有限公司,,2026-08-05,,
342247,公司,海南神农种业科技股份有限公司,,2026-08-05,,
3426268,公司,巴中市巴山牧业股份有限公司,,2026-08-05,,
3426322,公司,安徽徽生源生物科技股份有限公司,,2026-08-05,,
3426363,公司,山西东方亮生命科技股份有限公司,,2026-08-05,,
3426487,公司,上海农好饲料股份有限公司,,2026-08-05,,
3427480,公司,大连御龙生态渔业股份有限公司,,2026-08-05,,
343673,公司,玖源化工(集团)有限公司,,2026-08-05,,
345042,公司,山东东方海洋科技股份有限公司,,2026-08-05,,
347788,公司,江西绿洲源木业股份有限公司,,2026-08-05,,
348125,公司,天津滨海泰达物流集团股份有限公司,,2026-08-05,,
349567,公司,桂林莱茵生物科技股份有限公司,,2026-08-05,,
351208,公司,大连微冷食品股份有限公司,,2026-08-05,,
355572,公司,北京九州大地生物技术集团股份有限公司,,2026-08-05,,
356632,公司,安徽辉隆农资集团股份有限公司,,2026-08-05,,
356749,公司,安徽省司尔特肥业股份有限公司,,2026-08-05,,
356832,公司,烟台双塔食品股份有限公司,,2026-08-05,,
359180,公司,四川发展龙蟒股份有限公司,,2026-08-05,,
359319,公司,河南华英农业发展股份有限公司,,2026-08-05,,
360121,公司,广东海大集团股份有限公司,,2026-08-05,,
360217,公司,福建圣农发展股份有限公司,,2026-08-05,,
361178,公司,深圳润康生态环境股份有限公司,,2026-08-05,,
362177,公司,雏鹰农牧集团股份有限公司,,2026-08-05,,
362361,公司,人人乐连锁商业集团股份有限公司,,2026-08-05,,
363340,公司,中国心连心化肥有限公司,,2026-08-05,,
363425,公司,金正大生态工程集团股份有限公司,,2026-08-05,,
363449,公司,益海嘉里金龙鱼食品集团股份有限公司,,2026-08-05,,
364156,公司,北京大北农科技集团股份有限公司,,2026-08-05,,
364911,公司,江苏长青农化股份有限公司,,2026-08-05,,
365383,公司,安徽荃银高科种业股份有限公司,,2026-08-05,,
366005,公司,江苏辉丰生物农业股份有限公司,,2026-08-05,,
370506,公司,中木国际控股有限公司,,2026-08-05,,
382093,公司,山东龙力生物科技股份有限公司,,2026-08-05,,
382312,公司,山东益生种畜禽股份有限公司,,2026-08-05,,
4106682,公司,上海生农生化制品股份有限公司,,2026-08-05,,
4126843,公司,江苏金色农业股份有限公司,,2026-08-05,,
4126863,公司,江苏绿浥农业科技股份有限公司,,2026-08-05,,
4142759,公司,英记茶庄集团有限公司,,2026-08-05,,
4153540,公司,岳阳峰岭菁华生态科技股份有限公司,,2026-08-05,,
4153613,公司,广东海力储存设备股份有限公司,,2026-08-05,,
4153614,公司,广西绿友农生物科技股份有限公司,,2026-08-05,,
4154389,公司,辽宁中科生物工程股份有限公司,,2026-08-05,,
4154465,公司,中雁石斛技术股份有限公司,,2026-08-05,,
4161140,公司,上海美农生物科技股份有限公司,,2026-08-05,,
4182047,公司,华农恒青科技股份有限公司,,2026-08-05,,
4220950,公司,山西晋龙养殖股份有限公司,,2026-08-05,,
4226869,公司,新琪安集团股份有限公司,,2026-08-05,,
4227017,公司,江苏宏信超市连锁股份有限公司,,2026-08-05,,
427639,公司,河南金博士种业股份有限公司,,2026-08-05,,
4313623,公司,北京科拓恒通生物技术股份有限公司,,2026-08-05,,
452911,公司,浙江新和成股份有限公司,,2026-08-05,,
469270,公司,瑞普生物股份有限公司,,2026-08-05,,
472185,公司,碧生源控股有限公司,,2026-08-05,,
472668,公司,鹏都农牧股份有限公司,,2026-08-05,,
4792267,公司,厦门鹰君生态农业发展股份有限公司,,2026-08-05,,
4792268,公司,舟山泰和食品股份有限公司,,2026-08-05,,
4810676,公司,甘肃文祥生态渔业股份有限公司,,2026-08-05,,
481466,公司,江苏蓝丰生物化工股份有限公司,,2026-08-05,,
4948915,公司,江苏灵源沂岸科技股份有限公司,,2026-08-05,,
4971151,公司,上海永通生态工程股份有限公司,,2026-08-05,,
499978,公司,南京音飞储存设备(集团)股份有限公司,,2026-08-05,,
5156970,公司,中山园仔山菌业股份有限公司,,2026-08-05,,
5159919,公司,山东农大肥业科技股份有限公司,,2026-08-05,,
5162770,公司,甘肃绿能农业科技股份有限公司,,2026-08-05,,
5220090,公司,中盐安徽红四方肥业股份有限公司,,2026-08-05,,
525546,公司,浙江新农化工股份有限公司,,2026-08-05,,
5387853,公司,江西国光商业连锁股份有限公司,,2026-08-05,,
5471291,公司,广东顺康生物科技股份有限公司,,2026-08-05,,
553435,公司,中农立华生物科技股份有限公司,,2026-08-05,,
560378,公司,江苏托球农化股份有限公司,,2026-08-05,,
561830,公司,江苏中江种业股份有限公司,,2026-08-05,,
574025,公司,福建省永安林业(集团)股份有限公司,,2026-08-05,,
574032,公司,三江购物俱乐部股份有限公司,,2026-08-05,,
575456,公司,浙江欣欣饲料股份有限公司,,2026-08-05,,
604849,公司,新疆冠农股份有限公司,,2026-08-05,,
606040,公司,海利尔药业集团股份有限公司,,2026-08-05,,
607451,公司,唐人神集团股份有限公司,,2026-08-05,,
607620,公司,世纪阳光集团控股有限公司,,2026-08-05,,
608035,公司,大成食品(亚洲)有限公司,,2026-08-05,,
608793,公司,甘肃亚盛实业(集团)股份有限公司,,2026-08-05,,
608974,公司,禾丰食品股份有限公司,,2026-08-05,,
609760,公司,罗牛山股份有限公司,,2026-08-05,,
610395,公司,信保环球控股有限公司,,2026-08-05,,
6110229,公司,四川德康农牧食品集团股份有限公司,,2026-08-05,,
611224,公司,成都红旗连锁股份有限公司,,2026-08-05,,
6117431,公司,山东爱福地生物股份有限公司,,2026-08-05,,
6124052,公司,广西辽大农业科技集团股份有限公司,,2026-08-05,,
6125411,公司,利特米有限公司,,2026-08-05,,
612724,公司,深圳市京基智农时代股份有限公司,,2026-08-05,,
6251430,公司,宁波索宝蛋白科技股份有限公司,,2026-08-05,,
6392096,公司,广西八桂种苗高科技集团股份有限公司,,2026-08-05,,
6413201,公司,河南金苑种业股份有限公司,,2026-08-05,,
642053,公司,江苏丰山集团股份有限公司,,2026-08-05,,
6464967,公司,粤海永顺泰集团股份有限公司,,2026-08-05,,
6587997,公司,天康制药股份有限公司,,2026-08-05,,
6878608,公司,新疆泰昆蛋白科技股份有限公司,,2026-08-05,,
6917100,公司,福建省中延菌菇业股份有限公司,,2026-08-05,,
