起点节点code,起点节点名称,终点节点id,终点节点名称,主体产业链关系,开始时间,结束时间,数据来源
863104,上海奕方农业科技有限公司,FB000171,果蔬汁原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2538114,江苏华溢物流有限公司,FB000830,冷链运输,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6416651,安丘博阳机械制造有限公司,FB000710,原料前处理设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
338701,鲜驰达控股集团有限公司,FB000420,休闲食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
346651,巨轮智能装备股份有限公司,FB000700,生产设备与品控,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2978571,重庆富贵万年新材料股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2118674,山东圣琪生物有限公司,FB000260,酶制剂与发酵配料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
3019709,安徽鑫民玻璃股份有限公司,FB000340,玻璃包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
3038157,乾丰供应链(上海)股份有限公司,FB000820,冷链仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2978816,浙江中孚环境设备股份有限公司,FB000810,产地预冷与冷藏,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2978800,湖北仕外田源网商股份有限公司,FB000481,净菜产品,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2182742,江西杨氏果业股份有限公司,FB000171,果蔬汁原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2504510,海南天地人生态农业股份有限公司,FB000170,果蔬原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2504509,成都爱林至善贸易股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9400311,佛山市利达包装新材料股份有限公司,FB000350,复合软包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2193031,浙江新美心食品工业有限公司,FB000440,烘焙食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2544538,蓬莱海洋(山东)股份有限公司,FB000240,乳化稳定剂与胶体,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2223384,杭州沈氏节能科技股份有限公司,FB000710,原料前处理设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
361947,湖南凯美特气体股份有限公司,FB000520,碳酸饮料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
8214072,浙江小伦智能制造股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2116495,武汉九生堂生物科技股份有限公司,FB000490,保健食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
3036698,浙江沐家家居股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
7079250,易和国际控股有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
7944026,中科微至科技股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2214789,内蒙古乾华农业发展有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1689859,日照市凌云海糖业集团有限公司,FB000130,糖料作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2414805,开勒环境科技(上海)股份有限公司,FB000820,冷链仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
373031,杭氧集团股份有限公司,FB000820,冷链仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2347304,田野创新股份有限公司,FB000171,果蔬汁原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
286305,武商集团股份有限公司,FB000911,商超卖场,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4792267,厦门鹰君生态农业发展股份有限公司,FB000170,果蔬原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2307824,江苏康能生物工程股份有限公司,FB000260,酶制剂与发酵配料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4203540,广西大北农农牧食品有限公司,FB000450,肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2110486,佛山金万达科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9516526,江苏诚丰新材料股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2139581,海丰县投资控股集团有限公司,FB000452,熟肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2957599,山东巴罗克生物科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2957572,吉林省一机分离机械制造股份有限公司,FB000710,原料前处理设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
848064,广西南城百货有限责任公司,FB000911,商超卖场,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2957636,安徽荷金来农业发展股份有限公司,FB000450,肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2210125,北京莱特九州技术服务股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2109788,安徽雪郎生物科技股份有限公司,FB000210,甜味剂,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2978581,成都鹏翔运通物流有限公司,FB000830,冷链运输,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1925385,甘肃国芳工贸(集团)股份有限公司,FB000911,商超卖场,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2843377,盘锦海兴科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1164825,海南翔泰渔业股份有限公司,FB000150,水产品,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1164825,海南翔泰渔业股份有限公司,FB000451,生鲜肉分割产品,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2524673,广西禾美生态农业股份有限公司,FB000170,果蔬原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2524673,广西禾美生态农业股份有限公司,FB000481,净菜产品,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2538316,福建天线宝宝食品股份有限公司,FB000420,休闲食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
3021894,江苏大丰华丰种业股份有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
8111774,浙江丰岛食品股份有限公司,FB000420,休闲食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2607239,上海源知环境科技股份有限公司,FB000820,冷链仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1363519,江苏唯益换热器有限公司,FB000721,杀菌设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
7257914,内蒙古田牧实业(集团)股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2294003,中国绿宝集团有限公司,FB000400,食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2333939,玉树藏族自治州三江源冬虫夏草科技股份有限公司,FB000490,保健食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2803681,江苏安凯特科技股份有限公司,FB000721,杀菌设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2206248,广东康爱多数字健康科技有限公司,FB000940,线上电商渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6644193,重庆猫宁电子商务有限公司,FB000940,线上电商渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9482541,山东一诺生物质材料股份有限公司,FB000210,甜味剂,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
7676807,潜江市柳伍水产食品有限公司,FB000432,速冻火锅料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1092896,黑龙江恒阳牛业有限责任公司,FB000452,熟肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2308226,深圳市振野蛋品智能设备股份有限公司,FB000710,原料前处理设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
339808,卓悦控股有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
284251,浙江大农实业股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2510250,宁夏万仕隆冷冻科技股份有限公司,FB000820,冷链仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2510242,广东永畅兴精密制造股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9776946,深圳市顺禾电器科技有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2544537,云南曲辰种业股份有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2544659,西藏勃达微波装备股份有限公司,FB000720,核心加工设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2175463,云南蓝钻生物科技股份有限公司,FB000400,食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6269051,舟山海洋投资集团有限公司,FB000150,水产品,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2544665,吉林经济技术开发区城发集塑管业股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
7273450,辽宁益海嘉里淀粉科技有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2955991,天津市大林新材料科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
874444,利群商业集团股份有限公司,FB000911,商超卖场,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9486896,康命源(贵州)科技发展有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2843634,深圳市诺安智能股份有限公司,FB000740,在线检测与品控设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2300553,浙江交联辐照材料股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1083241,广东摩德娜科技股份有限公司,FB000720,核心加工设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2978737,深圳市新良田科技股份有限公司,FB000740,在线检测与品控设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2544608,饶河县中顺农业开发股份有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2978841,江西盛态粮食股份有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2546946,扬州日兴生物科技股份有限公司,FB000210,甜味剂,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2264737,郑州凯雪冷链股份有限公司,FB000820,冷链仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2405791,欧好光电控制技术(上海)股份有限公司,FB000740,在线检测与品控设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1127376,河南秋乐种业科技股份有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2509426,无锡灵鸽机械科技股份有限公司,FB000710,原料前处理设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1867990,深圳市顺电连锁股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2544699,江苏新瀚新材料股份有限公司,FB000210,甜味剂,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2324285,新疆康润洁环保科技股份有限公司,FB000840,冷链包装耗材,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4074378,山东一飞药业股份有限公司,FB000260,酶制剂与发酵配料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1164904,和田昆仑山枣业股份有限公司,FB000170,果蔬原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2814290,无锡市太平洋新材料股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2844740,浙江卓航物流有限公司,FB000830,冷链运输,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2843356,广东壹豪新材料科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9490904,无锡格林司通自动化设备股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9543443,苏州威达智科技股份有限公司,FB000740,在线检测与品控设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1287931,四方科技集团股份有限公司,FB000820,冷链仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
347758,大连富士冰山自动售货机有限公司,FB000912,便利店与折扣店,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9508254,浙江品瑶科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2210126,山东天鸿模具股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9489193,潍坊精华粉体科技股份有限公司,FB000710,原料前处理设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
8208998,浙江衡美健康科技股份有限公司,FB000490,保健食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2947165,上海伟隆机械设备股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
286144,广东广弘控股股份有限公司,FB000452,熟肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4950215,味氏(广东)生物科技股份有限公司,FB000260,酶制剂与发酵配料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4793247,四川恒星食品有限公司,FB000420,休闲食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2313480,上海和创化学股份有限公司,FB000240,乳化稳定剂与胶体,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1326356,青岛海尔空调电子有限公司,FB000820,冷链仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
8235074,广东省天行健新材料股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6149016,华玻视讯(珠海)科技有限公司,FB000340,玻璃包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
8281798,大庆华理生物技术股份有限公司,FB000260,酶制剂与发酵配料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2544470,无锡市万力粘合材料股份有限公司,FB000360,标签与包装耗材,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2510243,河南德宏种业股份有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6357693,安徽邦瑞新材料科技有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1759415,福建省芝星炭业股份有限公司,FB000230,防腐保鲜剂,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2485385,北京明通四季科技股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2176812,上海浩驰科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2264730,上海光和光学制造股份有限公司,FB000340,玻璃包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2957561,昆山恒光塑胶股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2803670,天津三卓韩一橡塑科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2803649,浙江绿脉农业科技股份有限公司,FB000170,果蔬原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6962348,广东深鹏科技股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6550117,上海九曳电子商务有限公司,FB000940,线上电商渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1088039,深圳茂业百货有限公司,FB000911,商超卖场,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
8086719,广东基烁新材料股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2544605,浙江华艺生物科技股份有限公司,FB000240,乳化稳定剂与胶体,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9438077,浙江新恒泰新材料股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4138679,宁波惠康工业科技股份有限公司,FB000820,冷链仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6711868,山东新和盛飨食集团有限公司,FB000450,肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1888876,万洲国际有限公司,FB000450,肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2509997,广州石头造环保科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2501123,内蒙古宏源农牧业科技股份有限公司,FB000460,乳制品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2175983,浙江茶乾坤食品股份有限公司,FB000180,茶叶与植物原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6529774,广东博测达科技股份有限公司,FB000740,在线检测与品控设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2504502,杭州三耐环保科技股份有限公司,FB000720,核心加工设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
3424354,江门丽宫侨宝陈皮健康产业发展股份有限公司,FB000420,休闲食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2538060,广东穗源新型农业科技股份有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2356613,青岛海傲思健康产业发展股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2259677,青海福来喜得生物科技股份有限公司,FB000120,油料作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
5797328,威海紫光优健科技股份有限公司,FB000490,保健食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
875980,深圳华力兴新材料股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2483560,溜溜梅股份有限公司,FB000420,休闲食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2195103,邹平三星油脂工业有限公司,FB000120,油料作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2347325,广东固特超声股份有限公司,FB000710,原料前处理设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2303822,山东首信高分子材料有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6365858,武汉光谷卓越科技股份有限公司,FB000740,在线检测与品控设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1164587,察布查尔锡伯自治县牧源农业发展有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2504516,上海禾健营养食品有限公司,FB000490,保健食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2506403,上海兰庆新材料技术股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6963134,宿迁市润通生态农业科技有限公司,FB000110,粮食作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6936143,临海市工业投资集团有限公司,FB000450,肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4789975,常德市万路达物流股份有限公司,FB000830,冷链运输,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1284616,黑龙江立高科技股份有限公司,FB000700,生产设备与品控,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2509939,宁夏沃福百瑞枸杞产业股份有限公司,FB000170,果蔬原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9486950,塔罗斯科技股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2538019,山东华瑞科技服务股份有限公司,FB000170,果蔬原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2442137,潍坊渤海水产综合开发有限公司,FB000150,水产品,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2241722,扬州市德运塑业科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2538098,东莞市松湖塑料机械股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
562759,新疆友好(集团)股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1263351,北京华联回龙观购物中心有限公司,FB000911,商超卖场,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
834480,沈阳蓝英工业自动化装备股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
5260968,山东博丽玻璃股份有限公司,FB000340,玻璃包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1164990,吉香居食品有限公司,FB000410,调味品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
299286,永旺(香港)百货有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4813229,山西牧标牛业股份有限公司,FB000450,肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2867043,四川雅茶控股集团有限公司,FB000180,茶叶与植物原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
8174275,保定维赛新材料科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6361354,巴楚县汇富棉业有限公司,FB000120,油料作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
8339059,广东东博智能装备股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
363171,上海奇想青晨新材料科技股份有限公司,FB000360,标签与包装耗材,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9483285,中特科技(青岛)股份有限公司,FB000740,在线检测与品控设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6917101,中山仲冠纸塑制品股份有限公司,FB000310,纸包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
313078,浙江盾安精工集团有限公司,FB000720,核心加工设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2538305,深圳市奥科斯特智能装备股份有限公司,FB000700,生产设备与品控,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
5039047,广州华糖食品有限公司,FB000400,食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4791674,安徽恒泰新材料科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1347985,宿迁市金田塑业有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2437499,哈尔滨工大金涛科技股份有限公司,FB000700,生产设备与品控,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
350750,海航商业控股有限公司,FB000900,流通渠道与零售终端,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6673729,深圳千岸科技股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6673729,深圳千岸科技股份有限公司,FB000940,线上电商渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
325611,庆安集团有限公司,FB000800,冷链物流与仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9386693,苏州佳祺仕科技股份有限公司,FB000700,生产设备与品控,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2538302,南京威克曼科技股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2510251,辽宁北旺农牧股份公司,FB000450,肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2544607,广东远东国兰股份有限公司,FB000100,农产品原料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
4798310,成都易态科技有限公司,FB000740,在线检测与品控设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2538330,江西中藻生物科技有限公司,FB000150,水产品,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
8183665,深圳市路远智能装备有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
7495115,广东汇成真空科技股份有限公司,FB000720,核心加工设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
757279,光明食品(集团)有限公司,FB000440,烘焙食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
757279,光明食品(集团)有限公司,FB000450,肉制品加工,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
757279,光明食品(集团)有限公司,FB000460,乳制品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
805400,山东瑞丰高分子材料股份有限公司,FB000240,乳化稳定剂与胶体,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
9486924,山东天意机械股份有限公司,FB000730,灌装包装设备,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
838027,福建雪人集团股份有限公司,FB000800,冷链物流与仓储,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2308186,江阴康爱特包装股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2539860,深圳百果园实业(集团)股份有限公司,FB000910,线下现代渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2539860,深圳百果园实业(集团)股份有限公司,FB000940,线上电商渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
6656896,山东威高普瑞医药包装有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
