节点code,节点类型,节点名称,证券代码,生效时间,失效时间
1148847,公司,江苏省农垦农业发展股份有限公司,,2026-07-14,
1148980,公司,重庆供销生鲜连锁有限公司,,2026-07-14,
1149066,公司,家家悦集团股份有限公司,,2026-07-14,
1154176,公司,中储粮油脂有限公司,,2026-07-14,
1154241,公司,山东省阳信广富畜产品有限公司,,2026-07-14,
1157632,公司,福建科宏生物工程股份有限公司,,2026-07-14,
1159153,公司,新疆冠农集团有限责任公司,,2026-07-14,
1164555,公司,蓝顿旭美食品有限公司,,2026-07-14,
1164566,公司,金乡县华光食品进出口有限公司,,2026-07-14,
1164587,公司,察布查尔锡伯自治县牧源农业发展有限公司,,2026-07-14,
1164685,公司,安徽同福集团股份有限公司,,2026-07-14,
1164766,公司,四川东柳醪糟有限责任公司,,2026-07-14,
1164825,公司,海南翔泰渔业股份有限公司,,2026-07-14,
1164850,公司,浙江天子股份有限公司,,2026-07-14,
1164855,公司,河北美客多食品集团股份有限公司,,2026-07-14,
1164865,公司,舟山水产品中心批发市场有限责任公司,,2026-07-14,
1164883,公司,河南信阳毛尖集团有限公司,,2026-07-14,
1164902,公司,黄山王光熙松萝茶业股份公司,,2026-07-14,
1164904,公司,和田昆仑山枣业股份有限公司,,2026-07-14,
1164905,公司,金菜地食品股份有限公司,,2026-07-14,
1164917,公司,齐齐哈尔瑞盛食品制造有限公司,,2026-07-14,
1164933,公司,金果园老农(北京)食品股份有限公司,,2026-07-14,
1164942,公司,湖北裕国菇业股份有限公司,,2026-07-14,
1164944,公司,福建省闽中有机食品有限公司,,2026-07-14,
1164984,公司,湖南金霞粮食产业有限公司,,2026-07-14,
1164990,公司,吉香居食品有限公司,,2026-07-14,
1165087,公司,大连林家铺子食品股份有限公司,,2026-07-14,
1165088,公司,湖州南太湖龟鳖特种养殖有限公司,,2026-07-14,
1165139,公司,河南黄国粮业股份有限公司,,2026-07-14,
1165141,公司,白象食品股份有限公司,,2026-07-14,
1165147,公司,早康枸杞股份有限公司,,2026-07-14,
1165282,公司,道道全粮油股份有限公司,,2026-07-14,
1165327,公司,江西省百乐米业股份有限公司,,2026-07-14,
1168275,公司,北京复盛机械有限公司,,2026-07-14,
1174130,公司,明康汇生态农业集团有限公司,,2026-07-14,
1175304,公司,合肥杰事杰新材料股份有限公司,,2026-07-14,
1180272,公司,东营正邦生态农业发展有限公司,,2026-07-14,
1182506,公司,厦门康达尔圆香食品有限公司,,2026-07-14,
1189375,公司,天洋新材(上海)科技股份有限公司,,2026-07-14,
121368058,公司,安徽新彩新材料股份有限公司,,2026-07-14,
1215720,公司,万向新元科技股份有限公司,,2026-07-14,
1215735,公司,南京德乐科技集团有限公司,,2026-07-14,
121964091,公司,江苏星基智造科技股份有限公司,,2026-07-14,
1237490,公司,上海康捷保新材料股份有限公司,,2026-07-14,
1238299,公司,保罗生物园科技股份有限公司,,2026-07-14,
1238944,公司,北京二商肉类食品集团有限公司,,2026-07-14,
1244029,公司,重庆博浪塑胶股份有限公司,,2026-07-14,
1244151,公司,重庆和泰润佳股份有限公司,,2026-07-14,
1247627,公司,浙江长安仁恒科技股份有限公司,,2026-07-14,
1247635,公司,山东七河生物科技股份有限公司,,2026-07-14,
1247640,公司,山东农凯米业股份有限公司,,2026-07-14,
1247858,公司,杭州方圆塑机股份有限公司,,2026-07-14,
1249494,公司,四川好彩头实业股份有限公司,,2026-07-14,
1249643,公司,福建益川自动化设备股份公司,,2026-07-14,
1249652,公司,甘肃菁茂生态农业科技股份有限公司,,2026-07-14,
1250037,公司,河南伊赛牛肉股份有限公司,,2026-07-14,
1250433,公司,吉林万家福食品股份有限公司,,2026-07-14,
1251954,公司,万杰智能科技股份有限公司,,2026-07-14,
1252236,公司,河南华泰粮油机械股份有限公司,,2026-07-14,
1252251,公司,迈安德集团有限公司,,2026-07-14,
1257137,公司,河南中鹤纯净粉业有限公司,,2026-07-14,
1262265,公司,杭州高新材料科技股份有限公司,,2026-07-14,
1263351,公司,北京华联回龙观购物中心有限公司,,2026-07-14,
1267452,公司,山东绿润食品有限公司,,2026-07-14,
1268080,公司,莒南县鸿润食品有限公司,,2026-07-14,
1269245,公司,津伦(天津)精密机械股份有限公司,,2026-07-14,
1281797,公司,广东颐丰智慧农业股份有限公司,,2026-07-14,
1284616,公司,黑龙江立高科技股份有限公司,,2026-07-14,
1285198,公司,广东裕田霸力科技股份有限公司,,2026-07-14,
1285440,公司,江西省祥橱实业有限公司,,2026-07-14,
1285608,公司,浙江长宇新材料股份有限公司,,2026-07-14,
1286603,公司,西藏徒河食品股份有限公司,,2026-07-14,
1287931,公司,四方科技集团股份有限公司,,2026-07-14,
1288524,公司,山东大地肉牛清真食品股份有限公司,,2026-07-14,
1292594,公司,深圳爱淘城网络科技股份有限公司,,2026-07-14,
1293062,公司,焦作力合节能装备股份有限公司,,2026-07-14,
1293247,公司,深圳市万通顺达科技股份有限公司,,2026-07-14,
1300326,公司,上海易果电子商务有限公司,,2026-07-14,
1300785,公司,上海浩祯时代文化娱乐发展股份有限公司,,2026-07-14,
1300834,公司,无锡顺达智能自动化工程股份有限公司,,2026-07-14,
1300999,公司,山西澳坤生物农业股份有限公司,,2026-07-14,
1301199,公司,深圳市伟创自动化设备有限公司,,2026-07-14,
1301736,公司,深圳市富恒新材料股份有限公司,,2026-07-14,
1301815,公司,山东赫达集团股份有限公司,,2026-07-14,
1302156,公司,山东新宇包装股份有限公司,,2026-07-14,
1303008,公司,厦门乐麦网络技术股份有限公司,,2026-07-14,
1306099,公司,北京康孚科技股份有限公司,,2026-07-14,
1317406,公司,连云港市天缘食品有限公司,,2026-07-14,
1317409,公司,江苏中鹏新材料股份有限公司,,2026-07-14,
1317805,公司,海南佳德信食品有限公司,,2026-07-14,
1318578,公司,豫新汽车热管理科技有限公司,,2026-07-14,
1318591,公司,上海儒竞科技股份有限公司,,2026-07-14,
1322030,公司,福建文鑫莲业有限责任公司,,2026-07-14,
1324486,公司,山东国新食品有限公司,,2026-07-14,
1325554,公司,北京绿色金可生物技术股份有限公司,,2026-07-14,
1326290,公司,湖南友谊阿波罗控股股份有限公司,,2026-07-14,
1326305,公司,华烁科技股份有限公司,,2026-07-14,
1326356,公司,青岛海尔空调电子有限公司,,2026-07-14,
1326435,公司,浙江银泰百货有限公司,,2026-07-14,
1326672,公司,中国耀华玻璃集团有限公司,,2026-07-14,
1328513,公司,陕西恒通果汁集团股份有限公司,,2026-07-14,
1329612,公司,合肥华联瑞安购物广场商业运营有限公司,,2026-07-14,
1329793,公司,浙江万马高分子材料集团有限公司,,2026-07-14,
1329844,公司,宁波能之光新材料科技股份有限公司,,2026-07-14,
1330352,公司,杭州杭氧压缩机有限公司,,2026-07-14,
1331057,公司,凯盛科技集团有限公司,,2026-07-14,
1332109,公司,广东恒基金属股份有限公司,,2026-07-14,
1334476,公司,伊之密股份有限公司,,2026-07-14,
1334573,公司,内蒙古塞飞亚农业科技发展股份有限公司,,2026-07-14,
1335337,公司,广州珐玛珈智能设备股份有限公司,,2026-07-14,
1335489,公司,湖南华强电气股份有限公司,,2026-07-14,
1336011,公司,湖南省丰康生物科技股份有限公司,,2026-07-14,
1337799,公司,北京华农伟业种子科技股份有限公司,,2026-07-14,
1341845,公司,重庆华联商厦鸿瑞百货有限公司,,2026-07-14,
1344748,公司,福建东吾洋食品股份有限公司,,2026-07-14,
1345004,公司,山东阜丰发酵有限公司,,2026-07-14,
1345134,公司,昂华(上海)自动化工程股份有限公司,,2026-07-14,
1345154,公司,甘肃大河生态食品股份有限公司,,2026-07-14,
1345513,公司,凯鑫森(上海)功能性薄膜产业股份有限公司,,2026-07-14,
1345775,公司,草原兴发食品科技(北京)股份有限公司,,2026-07-14,
1346776,公司,湖北任森农业科技发展股份有限公司,,2026-07-14,
1347985,公司,宿迁市金田塑业有限公司,,2026-07-14,
1352064,公司,无锡洪汇新材料科技股份有限公司,,2026-07-14,
1355706,公司,深圳市莲花山园林有限公司,,2026-07-14,
1356152,公司,湖北黄商集团股份有限公司,,2026-07-14,
1356252,公司,滨州中裕食品有限公司,,2026-07-14,
1356496,公司,合肥科拜尔新材料股份有限公司,,2026-07-14,
1357160,公司,北京秋实农业股份有限公司,,2026-07-14,
1357463,公司,武汉深蓝自动化设备股份有限公司,,2026-07-14,
1357637,公司,深圳市东方亮彩精密技术有限公司,,2026-07-14,
1357651,公司,江苏威泽智能科技股份有限公司,,2026-07-14,
1359846,公司,河南众品食业股份有限公司,,2026-07-14,
136049579,公司,上海铭沣科技股份有限公司,,2026-07-14,
1362722,公司,北京中科同志科技股份有限公司,,2026-07-14,
1363519,公司,江苏唯益换热器有限公司,,2026-07-14,
1364864,公司,烟台鸿庆预涂新材料股份有限公司,,2026-07-14,
1370403,公司,浙江益纸淀粉科技股份有限公司,,2026-07-14,
1377873,公司,河南众品食品有限公司,,2026-07-14,
1380379,公司,山东天晟机械装备股份有限公司,,2026-07-14,
1385840,公司,安庆华鹏长江玻璃有限公司,,2026-07-14,
15977741,公司,安徽豪家新材料股份有限公司,,2026-07-14,
160617359,公司,江苏新天地食品股份有限公司,,2026-07-14,
1676161,公司,中海海洋科技股份有限公司,,2026-07-14,
1677459,公司,驰骋控股集团股份有限公司,,2026-07-14,
1680789,公司,安徽省南翔贸易(集团)有限公司,,2026-07-14,
1684497,公司,广东伊之密精密注压科技有限公司,,2026-07-14,
1685533,公司,四川富生电器有限责任公司,,2026-07-14,
1689780,公司,广西洋浦南华糖业集团股份有限公司,,2026-07-14,
1689859,公司,日照市凌云海糖业集团有限公司,,2026-07-14,
1694017,公司,广东科茂林化集团股份有限公司,,2026-07-14,
169695726,公司,浙江欧诺机械科技股份有限公司,,2026-07-14,
1699369,公司,湖北华丽食品股份有限公司,,2026-07-14,
1700376,公司,济南群康食品有限公司,,2026-07-14,
1700507,公司,广州绿航农业科技有限公司,,2026-07-14,
1703025,公司,谢裕大茶叶股份有限公司,,2026-07-14,
1703406,公司,上海闽申农业科技股份有限公司,,2026-07-14,
1703426,公司,齐鲁泉源供应链有限公司,,2026-07-14,
1703438,公司,广西博宣食品有限公司,,2026-07-14,
1710568,公司,黄骅市鑫茂肉类食品有限公司,,2026-07-14,
1726901,公司,湖北李时珍生物科技股份有限公司,,2026-07-14,
1727596,公司,河北中北商贸股份有限公司,,2026-07-14,
1730698,公司,昆明七彩云南庆沣祥茶业股份有限公司,,2026-07-14,
1730797,公司,四川早白尖茶业有限公司,,2026-07-14,
1731209,公司,深圳市东方宇之光科技股份有限公司,,2026-07-14,
1731228,公司,绍兴御茶村茶业有限公司,,2026-07-14,
1735555,公司,广州保得威尔电子科技股份有限公司,,2026-07-14,
1735867,公司,天津天伟食品有限公司,,2026-07-14,
1736088,公司,上海凯诘电子商务股份有限公司,,2026-07-14,
1736380,公司,重庆旺峰肉业股份有限公司,,2026-07-14,
1736926,公司,湖南湖湘贡食品有限公司,,2026-07-14,
1737686,公司,北京天润康隆科技股份有限公司,,2026-07-14,
1739565,公司,广东顺兴种养股份有限公司,,2026-07-14,
1739768,公司,深圳市德威精密模具有限公司,,2026-07-14,
1740757,公司,深圳好食食品有限公司,,2026-07-14,
1740829,公司,深圳市麦凯莱科技有限公司,,2026-07-14,
1750135,公司,河南飞天生物科技股份有限公司,,2026-07-14,
1750154,公司,宁波横河精密工业股份有限公司,,2026-07-14,
1750983,公司,广东美联新材料股份有限公司,,2026-07-14,
1754880,公司,天津利安隆新材料股份有限公司,,2026-07-14,
1759112,公司,浙江昀丰新材料科技股份有限公司,,2026-07-14,
1759400,公司,福建赛特新材股份有限公司,,2026-07-14,
1759415,公司,福建省芝星炭业股份有限公司,,2026-07-14,
1759652,公司,重庆市原卤食品有限公司,,2026-07-14,
1760549,公司,潍坊金正食品股份有限公司,,2026-07-14,
1768271,公司,新疆汇嘉时代百货股份有限公司,,2026-07-14,
1782868,公司,湖北亿钧耀能新材股份公司,,2026-07-14,
1783585,公司,南通光合生物技术股份有限公司,,2026-07-14,
1784668,公司,福建思嘉环保材料科技有限公司,,2026-07-14,
178590977,公司,广东海瑞斯新材料股份有限公司,,2026-07-14,
1790073,公司,安徽金农生物技术有限公司,,2026-07-14,
1794656,公司,广州摩登百货股份有限公司,,2026-07-14,
1794932,公司,广东波斯科技股份有限公司,,2026-07-14,
1799334,公司,上海连能环保科技股份有限公司,,2026-07-14,
1799863,公司,辽宁三源健康科技股份有限公司,,2026-07-14,
1806579,公司,湖南贵太太茶油科技股份有限公司,,2026-07-14,
1807221,公司,深圳市清泉水业股份有限公司,,2026-07-14,
1813202,公司,扬州晨化新材料股份有限公司,,2026-07-14,
1827393,公司,海航科技集团有限公司,,2026-07-14,
1830217,公司,深圳辰通智能股份有限公司,,2026-07-14,
1840307,公司,保定硕丰农产股份有限公司,,2026-07-14,
1848531,公司,湖北新力大风车现代农业科技有限责任公司,,2026-07-14,
1854966,公司,山东远洋塑胶工业有限公司,,2026-07-14,
1858612,公司,黑龙江象屿农业物产有限公司,,2026-07-14,
1861705,公司,上海南翔食品股份有限公司,,2026-07-14,
1863645,公司,上海城市超市有限公司,,2026-07-14,
1867867,公司,深圳市宏商材料科技股份有限公司,,2026-07-14,
1867990,公司,深圳市顺电连锁股份有限公司,,2026-07-14,
1870002,公司,南京佳力图机房环境技术股份有限公司,,2026-07-14,
1872267,公司,浙江衢州东方集团股份有限公司,,2026-07-14,
1876182,公司,大连东霖食品股份有限公司,,2026-07-14,
1881202,公司,江苏先锋智能科技股份有限公司,,2026-07-14,
1883242,公司,中山市利德包装材料有限公司,,2026-07-14,
1884044,公司,上海朴道水汇环保科技股份有限公司,,2026-07-14,
1884858,公司,金太阳粮油股份有限公司,,2026-07-14,
1885378,公司,内蒙古坤瑞玻璃股份有限公司,,2026-07-14,
1885380,公司,内蒙古赛诺种羊科技有限公司,,2026-07-14,
1885459,公司,宁波伟立机器人科技股份有限公司,,2026-07-14,
1885802,公司,大连棒棰岛海产股份有限公司,,2026-07-14,
1885823,公司,大连华富食品有限公司,,2026-07-14,
1885983,公司,南京云田网络科技(集团)股份有限公司,,2026-07-14,
1885997,公司,东莞市雄林新材料科技股份有限公司,,2026-07-14,
1886952,公司,安徽富硒香生物食品股份有限公司,,2026-07-14,
1886972,公司,安徽詹氏食品股份有限公司,,2026-07-14,
1888876,公司,万洲国际有限公司,,2026-07-14,
1891309,公司,南京大树智能科技股份有限公司,,2026-07-14,
1904669,公司,北京良物珍品电子商务股份有限公司,,2026-07-14,
1911006,公司,江苏众客食品股份有限公司,,2026-07-14,
1915330,公司,安徽华菱西厨装备股份有限公司,,2026-07-14,
1917144,公司,甘肃鸿泰种业股份有限公司,,2026-07-14,
1920866,公司,深圳市龙丹食品有限公司,,2026-07-14,
1924710,公司,河南恒瑞淀粉科技股份有限公司,,2026-07-14,
1925385,公司,甘肃国芳工贸(集团)股份有限公司,,2026-07-14,
1933410,公司,远东光电股份有限公司,,2026-07-14,
1935911,公司,吉林加一健康产业股份有限公司,,2026-07-14,
1940752,公司,通化禾韵现代农业股份有限公司,,2026-07-14,
1942893,公司,深圳市沃特新材料股份有限公司,,2026-07-14,
1945592,公司,深圳市旺鑫精密工业有限公司,,2026-07-14,
1945594,公司,吉林派诺生物技术股份有限公司,,2026-07-14,
1950366,公司,新疆供销投资(控股)集团有限责任公司,,2026-07-14,
1951594,公司,山东省博发油脂有限公司,,2026-07-14,
1953301,公司,深圳市帝源新材料科技股份有限公司,,2026-07-14,
1954643,公司,深圳市金彩虹精密制造股份有限公司,,2026-07-14,
1955431,公司,深圳市仕瑞达自动化设备有限公司,,2026-07-14,
1957022,公司,丹阳市江南面粉有限公司,,2026-07-14,
1957586,公司,深圳市中吉号茶业股份有限公司,,2026-07-14,
1960424,公司,上海创乐人企业发展股份有限公司,,2026-07-14,
1962483,公司,广东顺德顺炎新材料股份有限公司,,2026-07-14,
196401189,公司,江苏川岛智能装备股份有限公司,,2026-07-14,
1964966,公司,甘肃凯凯农业科技发展股份有限公司,,2026-07-14,
1970410,公司,山东华建仓储装备科技有限公司,,2026-07-14,
1976637,公司,新疆金丰源种业有限公司,,2026-07-14,
1979749,公司,西科农业集团股份有限公司,,2026-07-14,
1983750,公司,健合(中国)有限公司,,2026-07-14,
1993164,公司,辽宁五峰农业科技股份有限公司,,2026-07-14,
1993563,公司,山东众兴泽辉新材料有限公司,,2026-07-14,
1995794,公司,艾艾精密工业输送系统(上海)股份有限公司,,2026-07-14,
1995818,公司,广东三凯新材料股份有限公司,,2026-07-14,
1995831,公司,长虹塑料集团英派瑞塑料股份有限公司,,2026-07-14,
1995840,公司,苏州中集良才科技有限公司,,2026-07-14,
1996631,公司,大连世安科技股份有限公司,,2026-07-14,
1996769,公司,福格森(武汉)生物科技股份有限公司,,2026-07-14,
1996780,公司,苏州昆拓热控系统股份有限公司,,2026-07-14,
1997802,公司,恩施炜丰富硒茶业股份有限公司,,2026-07-14,
1997921,公司,大连雅威特生物技术股份有限公司,,2026-07-14,
1997947,公司,上海华之邦科技股份有限公司,,2026-07-14,
1999236,公司,苏州天弘激光股份有限公司,,2026-07-14,
1999240,公司,柳州爱格富食品科技股份有限公司,,2026-07-14,
1999255,公司,广州星业科技股份有限公司,,2026-07-14,
1999287,公司,安徽中科自动化股份有限公司,,2026-07-14,
1999293,公司,济南老来寿生物集团股份有限公司,,2026-07-14,
2007540,公司,上海金豹实业股份有限公司,,2026-07-14,
2009958,公司,山东东阿东方阿胶股份有限公司,,2026-07-14,
2014311,公司,广州市汇美时尚集团股份有限公司,,2026-07-14,
2016051,公司,惠生国际控股有限公司,,2026-07-14,
2018987,公司,福建盛达机器股份公司,,2026-07-14,
2022114,公司,大连金玛商城企业集团有限公司,,2026-07-14,
2024171,公司,吉林省金塔实业(集团)股份有限公司,,2026-07-14,
2024568,公司,武汉奥森迪科智能科技股份有限公司,,2026-07-14,
2027015,公司,深圳市同益实业股份有限公司,,2026-07-14,
2031823,公司,合肥泰禾智能科技集团股份有限公司,,2026-07-14,
2044356,公司,武汉新中德塑机股份有限公司,,2026-07-14,
2051439,公司,天方茶业股份有限公司,,2026-07-14,
2051442,公司,惠州天阳精密部品股份有限公司,,2026-07-14,
2052482,公司,银都餐饮设备股份有限公司,,2026-07-14,
2052593,公司,泰瑞机器股份有限公司,,2026-07-14,
2057888,公司,元利化学集团股份有限公司,,2026-07-14,
2058304,公司,安徽万瑞冷电科技有限公司,,2026-07-14,
2060767,公司,上海手乐电子商务股份有限公司,,2026-07-14,
2075017,公司,诺誓(北京)商业股份有限公司,,2026-07-14,
2082588,公司,上海中主信息科技股份有限公司,,2026-07-14,
2087183,公司,上海顶誉食品有限公司,,2026-07-14,
2087713,公司,内蒙古草原宏宝食品股份有限公司,,2026-07-14,
2087745,公司,河南省豫玉种业股份有限公司,,2026-07-14,
2089725,公司,大连冰洋科技股份有限公司,,2026-07-14,
2091464,公司,江苏瑞雪海洋科技股份有限公司,,2026-07-14,
2096160,公司,上海阿拉丁生化科技股份有限公司,,2026-07-14,
2100380,公司,福建雪人制冷设备有限公司,,2026-07-14,
2106794,公司,重庆市长寿区浩湖渔业股份有限公司,,2026-07-14,
2109788,公司,安徽雪郎生物科技股份有限公司,,2026-07-14,
2109790,公司,青岛海容商用冷链股份有限公司,,2026-07-14,
2110486,公司,佛山金万达科技股份有限公司,,2026-07-14,
2116495,公司,武汉九生堂生物科技股份有限公司,,2026-07-14,
2118674,公司,山东圣琪生物有限公司,,2026-07-14,
2119174,公司,上海沃迪智能装备股份有限公司,,2026-07-14,
2123122,公司,天加新材料集团股份有限公司,,2026-07-14,
2132055,公司,河北康远清真食品股份有限公司,,2026-07-14,
2136405,公司,江苏联测机电科技股份有限公司,,2026-07-14,
2138253,公司,威海联桥新材料科技股份有限公司,,2026-07-14,
2139470,公司,封开县公有资产发展有限公司,,2026-07-14,
2139581,公司,海丰县投资控股集团有限公司,,2026-07-14,
2140547,公司,南京虎凤蝶电子商务科技股份有限公司,,2026-07-14,
2164214,公司,丹东禾丰成三牧业有限公司,,2026-07-14,
2166575,公司,连云港神农现代农业发展有限公司,,2026-07-14,
2167053,公司,广东峰华卓立科技股份有限公司,,2026-07-14,
2167989,公司,公准肉食品股份有限公司,,2026-07-14,
2169687,公司,苏州润佳工程塑料股份有限公司,,2026-07-14,
2169688,公司,伽力森食品(无锡)集团股份公司,,2026-07-14,
2169710,公司,山东婴儿乐股份有限公司,,2026-07-14,
2173448,公司,壹玖壹玖酒类平台科技股份有限公司,,2026-07-14,
2174189,公司,江苏诚盟装备股份有限公司,,2026-07-14,
2175463,公司,云南蓝钻生物科技股份有限公司,,2026-07-14,
2175983,公司,浙江茶乾坤食品股份有限公司,,2026-07-14,
2176012,公司,承德天成印刷科技股份有限公司,,2026-07-14,
2176014,公司,上海金东唐科技有限公司,,2026-07-14,
2176812,公司,上海浩驰科技股份有限公司,,2026-07-14,
2182742,公司,江西杨氏果业股份有限公司,,2026-07-14,
2193031,公司,浙江新美心食品工业有限公司,,2026-07-14,
2195103,公司,邹平三星油脂工业有限公司,,2026-07-14,
2203650,公司,重庆龙头港物流发展有限公司,,2026-07-14,
2205876,公司,索拉特特种玻璃(江苏)股份有限公司,,2026-07-14,
2206248,公司,广东康爱多数字健康科技有限公司,,2026-07-14,
2206747,公司,张家界金鲵生物工程股份有限公司,,2026-07-14,
2208204,公司,上海远洲管业科技股份有限公司,,2026-07-14,
2210047,公司,江苏强盛功能化学股份有限公司,,2026-07-14,
2210125,公司,北京莱特九州技术服务股份有限公司,,2026-07-14,
2210126,公司,山东天鸿模具股份有限公司,,2026-07-14,
2210127,公司,河南心连心深冷能源股份有限公司,,2026-07-14,
2214789,公司,内蒙古乾华农业发展有限公司,,2026-07-14,
2215205,公司,河南淮滨华英禽业有限公司,,2026-07-14,
2219268,公司,衡阳华亚玻璃制品有限公司,,2026-07-14,
2220857,公司,舟山新诺佳生物工程股份有限公司,,2026-07-14,
2223384,公司,杭州沈氏节能科技股份有限公司,,2026-07-14,
2229434,公司,江苏红旗种业股份有限公司,,2026-07-14,
2233394,公司,福建神农菇业股份有限公司,,2026-07-14,
2234289,公司,浙江美之奥种业股份有限公司,,2026-07-14,
2236654,公司,宁夏法福来食品股份有限公司,,2026-07-14,
2236662,公司,黑龙江省龙蛙农业发展股份有限公司,,2026-07-14,
2241565,公司,大连凯洋世界海鲜股份有限公司,,2026-07-14,
2241722,公司,扬州市德运塑业科技股份有限公司,,2026-07-14,
2241754,公司,珠海长先新材料科技股份有限公司,,2026-07-14,
2242670,公司,甘肃华协农业生物科技股份有限公司,,2026-07-14,
2244617,公司,抚州苍源中药材种植股份有限公司,,2026-07-14,
2249040,公司,宁夏伊品生物科技股份有限公司,,2026-07-14,
2259677,公司,青海福来喜得生物科技股份有限公司,,2026-07-14,
2264667,公司,山东安信种苗股份有限公司,,2026-07-14,
2264730,公司,上海光和光学制造股份有限公司,,2026-07-14,
2264733,公司,深圳市软通供应链股份有限公司,,2026-07-14,
2264737,公司,郑州凯雪冷链股份有限公司,,2026-07-14,
2264801,公司,湖南黑美人茶业股份有限公司,,2026-07-14,
2264802,公司,烟台枫林食品股份有限公司,,2026-07-14,
2276272,公司,黄石汇波材料科技股份有限公司,,2026-07-14,
2279300,公司,浙江才府玻璃股份有限公司,,2026-07-14,
2281399,公司,兰州亚成生物科技股份有限公司,,2026-07-14,
2283154,公司,常州贝斯塔德机械股份有限公司,,2026-07-14,
2283157,公司,北京世纪合辉医药科技股份有限公司,,2026-07-14,
2283158,公司,郑州光大百纳科技股份有限公司,,2026-07-14,
2287045,公司,深圳市佳捷现代物流有限公司,,2026-07-14,
